,country,Code_x,year,mortality,increase_mort,Code_y,smoke_prev,increse_smoke,CO,CO_mean,uplift_CO,O3,O3_mean,uplift_O3,PM,PM_mean,uplift_PM,Family,Freedom,Generosity,Region,Happiness Score,Economy (GDP per Capita),Health (Life Expectancy),Trust (Government Corruption),Dystopia Residual
0,Afghanistan,AFG,2015,72.11,,AFG,26.0,,0.188489486,0.1895209315,,0.0576164612748046,0.058226421581198826,,2.03778e-08,2.2391975e-08,,0.30285,0.23414,0.3651,Southern Asia,3.575,0.31982,0.30335,0.09719,1.9521
1,Afghanistan,AFG,2016,70.9,-1.2099999999999937,,,,0.190930845,0.1895209315,0.0024413589999999763,0.0575296425192838,0.058226421581198826,-8.68187555208011e-05,2.06706e-08,2.2391975e-08,2.9279999999999717e-10,0.11037,0.1643,0.31268,Southern Asia,3.36,0.38227,0.17344,0.07112,2.14558
2,Afghanistan,AFG,2017,69.95,-0.9500000000000028,,,,0.195363841,0.1895209315,0.004432996000000022,0.058393366022432,0.058226421581198826,0.0008637235031482005,2.05759e-08,2.2391975e-08,-9.469999999999886e-11,0.581543326377869,0.106179520487785,0.311870932579041,,3.79399991035461,0.401477217674255,0.180746778845787,0.0611578300595284,2.15080118179321
3,Afghanistan,AFG,2018,68.95,-1.0,AFG,23.799999237060547,-2.200000762939453,0.183299554,0.1895209315,-0.012064287000000007,0.0593662165082749,0.058226421581198826,0.000972850485842898,2.79436e-08,2.2391975e-08,7.3677000000000005e-09,,0.085,0.191,,3.632,0.332,0.255,0.036,
4,African Region (WHO),,2015,46.36,,,,,,,,,,,,,,,,,,,,,,
5,African Region (WHO),,2016,45.45,-0.9099999999999966,,,,,,,,,,,,,,,,,,,,,
6,African Region (WHO),,2017,44.71,-0.740000000000002,,,,,,,,,,,,,,,,,,,,,
7,African Region (WHO),,2018,43.85,-0.8599999999999994,,,,,,,,,,,,,,,,,,,,,
8,Albania,ALB,2015,20.09,,ALB,25.100000381469727,,0.156163653,0.146900025,,0.0584332028081962,0.05979588011620378,,1.14818e-08,1.181145e-08,,0.80434,0.35733,0.14272,Central and Eastern Europe,4.959,0.87867,0.81325,0.06413,1.89894
9,Albania,ALB,2016,20.0,-0.08999999999999986,,,,0.142974826,0.146900025,-0.013188827000000014,0.0590562108518978,0.05979588011620378,0.0006230080437015992,1.12692e-08,1.181145e-08,-2.1259999999999987e-10,0.50163,0.31866,0.1684,Central and Eastern Europe,4.655,0.9553,0.73007,0.05301,1.92816
10,Albania,ALB,2017,19.88,-0.120000000000001,,,,0.149149628,0.146900025,0.006174802000000007,0.0611168016540805,0.05979588011620378,0.0020605908021827032,1.19365e-08,1.181145e-08,6.673e-10,0.803685247898102,0.381498634815216,0.201312944293022,,4.64400005340576,0.996192753314972,0.731159746646881,0.0398642159998417,1.49044156074524
11,Albania,ALB,2018,19.71,-0.16999999999999815,ALB,23.0,-2.1000003814697266,0.139311993,0.146900025,-0.009837635000000011,0.0605773051506406,0.05979588011620378,-0.0005394965034399013,1.25583e-08,1.181145e-08,6.217999999999997e-10,,0.419,0.149,,4.586,0.916,0.79,0.032,
12,Algeria,DZA,2015,31.88,,DZA,21.100000381469727,,0.211894881,0.214399955,,0.0602071542201595,0.0625168719992514,,2.94041e-08,3.083785e-08,,1.07772,0.28579,0.07822,Middle East and Northern Africa,5.605,0.93929,0.61766,0.17383,2.43209
13,Algeria,DZA,2016,31.36,-0.5199999999999996,,,,0.216244234,0.214399955,0.004349353,0.0598311761113431,0.0625168719992514,-0.00037597810881639937,3.14261e-08,3.083785e-08,2.022e-09,0.83309,0.21006,0.07044,Middle East and Northern Africa,6.355,1.05266,0.61804,0.16157,3.40904
14,Algeria,DZA,2017,30.95,-0.41000000000000014,,,,0.225640967,0.214399955,0.00939673299999999,0.0656007879673904,0.0625168719992514,0.005769611856047296,3.24245e-08,3.083785e-08,9.984000000000018e-10,1.1462174654007,0.233335807919502,0.0694366469979286,,5.87200021743774,1.09186446666718,0.617584645748138,0.146096110343933,2.56760382652283
15,Algeria,DZA,2018,30.65,-0.3000000000000007,DZA,21.0,-0.10000038146972656,0.203819738,0.214399955,-0.021821228999999998,0.0644283696981126,0.0625168719992514,-0.001172418269277803,3.00967e-08,3.083785e-08,-2.327800000000002e-09,,0.077,0.055,,5.295,0.979,0.687,0.135,
16,American Samoa,ASM,2015,59.23,,,,,,,,,,,,,,,,,,,,,,
17,American Samoa,ASM,2016,58.11,-1.1199999999999974,,,,,,,,,,,,,,,,,,,,,
18,American Samoa,ASM,2017,58.23,0.11999999999999744,,,,,,,,,,,,,,,,,,,,,
19,American Samoa,ASM,2018,58.07,-0.1599999999999966,,,,,,,,,,,,,,,,,,,,,
20,Andorra,AND,2015,26.32,,AND,33.0,,0.15467979,0.15112227625,,0.054602009775744,0.0545863455187764,,1.12872e-08,1.0998949999999999e-08,,,,,,,,,,
21,Andorra,AND,2016,26.17,-0.14999999999999858,,,,0.151258442,0.15112227625,-0.0034213480000000185,0.0543165449008642,0.0545863455187764,-0.0002854648748797997,1.08794e-08,1.0998949999999999e-08,-4.078000000000002e-10,,,,,,,,,
22,Andorra,AND,2017,26.0,-0.1700000000000017,,,,0.151722962,0.15112227625,0.00046451999999999605,0.054943661935885,0.0545863455187764,0.0006271170350208022,1.11353e-08,1.0998949999999999e-08,2.5590000000000033e-10,,,,,,,,,
23,Andorra,AND,2018,25.87,-0.129999999999999,AND,32.0,-1.0,0.146827911,0.15112227625,-0.004895050999999984,0.0544831654626124,0.0545863455187764,-0.0004604964732725994,1.06939e-08,1.0998949999999999e-08,-4.4140000000000056e-10,,,,,,,,,
24,Angola,AGO,2015,50.06,,,,,0.283500499,0.25955847600000004,,0.048422350872261,0.04831774665654185,,2.70252e-08,2.6465325e-08,,0.8604,0.10384,0.12344,Sub-Saharan Africa,4.033,0.75778,0.16683,0.07122,1.94939
25,Angola,AGO,2016,48.88,-1.1799999999999997,,,,0.279630354,0.25955847600000004,-0.0038701449999999915,0.0482986810071619,0.04831774665654185,-0.00012366986509910333,2.90852e-08,2.6465325e-08,2.06e-09,0.66366,0.00589,0.12071,Sub-Saharan Africa,3.866,0.84731,0.04991,0.08434,2.09459
26,Angola,AGO,2017,48.05,-0.8300000000000054,,,,0.240480162,0.25955847600000004,-0.03915019200000003,0.0488183275161601,0.04831774665654185,0.0005196465089982033,2.50783e-08,2.6465325e-08,-4.006899999999999e-09,1.10441195964813,0.0,0.097926490008831,,3.79500007629395,0.858428180217743,0.0498686656355858,0.0697203353047371,1.61448240280151
27,Angola,AGO,2018,47.41,-0.6400000000000006,,,,0.234622889,0.25955847600000004,-0.005857272999999996,0.0477316272305844,0.04831774665654185,-0.001086700285575705,2.46726e-08,2.6465325e-08,-4.057000000000008e-10,,0.0,0.079,,3.795,0.73,0.269,0.061,
28,Antigua and Barbuda,ATG,2015,12.28,,,,,0.080024744,0.07826388949999999,,0.0547002162980484,0.05548419385918405,,1.6085e-08,1.4995625e-08,,,,,,,,,,
29,Antigua and Barbuda,ATG,2016,12.35,0.07000000000000028,,,,0.079523898,0.07826388949999999,-0.0005008459999999992,0.0534512511274042,0.05548419385918405,-0.0012489651706442048,1.40243e-08,1.4995625e-08,-2.0607000000000014e-09,,,,,,,,,
30,Antigua and Barbuda,ATG,2017,12.12,-0.23000000000000043,,,,0.077454765,0.07826388949999999,-0.0020691330000000008,0.0555007904310838,0.05548419385918405,0.0020495393036796053,1.49906e-08,1.4995625e-08,9.662999999999999e-10,,,,,,,,,
31,Antigua and Barbuda,ATG,2018,11.99,-0.129999999999999,,,,0.076052151,0.07826388949999999,-0.0014026139999999965,0.0582845175801998,0.05548419385918405,0.002783727149115997,1.48826e-08,1.4995625e-08,-1.0800000000000004e-10,,,,,,,,,
32,Argentina,ARG,2015,34.86,,ARG,26.600000381469727,,0.122199996,0.11997274675,,0.0398684333622082,0.04230197816094537,,1.04171e-08,1.01542675e-08,,1.24823,0.44974,0.11451,Latin America and Caribbean,6.574,1.05351,0.78723,0.08484,2.836
